Area Name,Area Type,Year,Month,Seasonally Adjusted(Y/N),Status,Labor Force,Employment,Unemployment,Unemployment Rate,Calc_LF,Calc LF,Calculated Rate
Alameda County,County,1990,Annual,N,Final,678000,650600,27500,4.0,678100,678100,4.056047197640118
Alameda County,County,1991,Annual,N,Final,672500,635600,36900,5.5,672500,672500,5.4869888475836435
Alameda County,County,1992,Annual,N,Final,677000,632300,44800,6.6,677100,677100,6.617429837518464
Alameda County,County,1993,Annual,N,Final,677300,632000,45300,6.7,677300,677300,6.688321275653329
Alameda County,County,1994,Annual,N,Final,679000,636900,42100,6.2,679000,679000,6.200294550810015
Alameda County,County,1995,Annual,N,Final,676000,637200,38900,5.8,676100,676100,5.754437869822485
Alameda County,County,1996,Annual,N,Final,677700,643100,34600,5.1,677700,677700,5.105503910284787
Alameda County,County,1997,Annual,N,Final,693300,662100,31100,4.5,693200,693200,4.485792586182028
Alameda County,County,1998,Annual,N,Final,703300,674200,29200,4.1,703400,703400,4.1518555381771645
Alameda County,County,1999,Annual,N,Final,714400,689400,25000,3.5,714400,714400,3.4994400895856663
Alameda County,County,2000,Annual,N,Final,769700,742200,27500,3.6,769700,769700,3.5728205794465375
Alameda County,County,2001,Annual,N,Final,778700,741200,37500,4.8,778700,778700,4.8157185052009766
Alameda County,County,2002,Annual,N,Final,773300,721100,52200,6.8,773300,773300,6.750290960817276
Alameda County,County,2003,Annual,N,Final,756900,704500,52400,6.9,756900,756900,6.922975293962215
Alameda County,County,2004,Annual,N,Final,744400,700800,43600,5.9,744400,744400,5.857066093498119
Alameda County,County,2005,Annual,N,Final,738700,701100,37600,5.1,738700,738700,5.090023013401923
Alameda County,County,2006,Annual,N,Final,739700,707000,32700,4.4,739700,739700,4.420711099094228
Alameda County,County,2007,Annual,N,Final,752600,717500,35100,4.7,752600,752600,4.663832048897157
Alameda County,County,2008,Annual,N,Final,764200,716800,47400,6.2,764200,764200,6.202564773619471
Alameda County,County,2009,Annual,N,Final,770200,688400,81800,10.6,770200,770200,10.620618021293172
Alameda County,County,2010,Annual,N,Final,783100,697000,86100,11.0,783100,783100,10.99476439790576
Alameda County,County,2011,Annual,N,Final,783600,704600,79000,10.1,783600,783600,10.081674323634507
Alameda County,County,2012,Annual,N,Final,796100,726700,69400,8.7,796100,796100,8.717497801783695
Alameda County,County,2013,Annual,N,Final,800600,742100,58500,7.3,800600,800600,7.307019735198601
Alameda County,County,2014,Annual,N,Final,807200,759600,47600,5.9,807200,807200,5.896927651139743
Alameda County,County,2015,Annual,N,Final,819400,780300,39000,4.8,819300,819300,4.759580180619966
Alameda County,County,2016,Annual,N,Final,878300,842200,36100,4.1,878300,878300,4.110212911305932
Alameda County,County,2017,Annual,N,Final,885800,854500,31300,3.5,885800,885800,3.5335290133212918
Alameda County,County,2018,Annual,N,Final,889000,863000,25900,2.9,888900,888900,2.9133858267716537
Alameda County,County,2019,Annual,N,Final,889600,864400,25200,2.8,889600,889600,2.83273381294964
Alameda County,County,2020,Annual,N,Final,860300,787400,73000,8.5,860400,860400,8.485412065558526
Alameda County,County,2021,Annual,N,Final,846500,796900,49600,5.9,846500,846500,5.859421145894861
Alameda County,County,2022,Annual,N,Final,856600,829100,27500,3.2,856600,856600,3.2103665654914777
Alameda County,County,2023,Annual,N,Final,866300,833200,33100,3.8,866300,866300,3.820847281542191
Alameda County,County,2024,Annual,N,Final,866300,827700,38600,4.5,866300,866300,4.455731270922313
Alpine County,County,1990,Annual,N,Final,380,340,40,9.6,380,380,10.526315789473683
Alpine County,County,1991,Annual,N,Final,360,310,50,13.4,360,360,13.88888888888889
Alpine County,County,1992,Annual,N,Final,350,290,60,16.7,350,350,17.142857142857142
Alpine County,County,1993,Annual,N,Final,360,310,50,13.1,360,360,13.88888888888889
Alpine County,County,1994,Annual,N,Final,450,400,50,10.3,450,450,11.11111111111111
Alpine County,County,1995,Annual,N,Final,480,430,50,10.6,480,480,10.416666666666668
Alpine County,County,1996,Annual,N,Final,490,440,50,10.0,490,490,10.204081632653061
Alpine County,County,1997,Annual,N,Final,500,450,50,9.5,500,500,10.0
Alpine County,County,1998,Annual,N,Final,480,440,50,9.7,490,490,10.416666666666668
Alpine County,County,1999,Annual,N,Final,490,450,50,9.3,500,500,10.204081632653061
Alpine County,County,2000,Annual,N,Final,560,520,30,6.3,550,550,5.357142857142857
Alpine County,County,2001,Annual,N,Final,570,530,40,7.3,570,570,7.017543859649122
Alpine County,County,2002,Annual,N,Final,560,520,40,7.6,560,560,7.142857142857142
Alpine County,County,2003,Annual,N,Final,560,510,50,8.5,560,560,8.928571428571429
Alpine County,County,2004,Annual,N,Final,540,490,40,8.0,530,530,7.4074074074074066
